EKATTE_ID,SETTLEMENT_NAME,AREA(DECARS)
67800,"гр. Созопол, общ. Созопол, обл. Бургас",41829
68080,"гр. Сопот, общ. Сопот, обл. Пловдив",36370
68134,"гр. София, общ. Столична, обл. София (столица)",492029
17974,"гр. Средец, общ. Средец, обл. Бургас",63216
51980,"гр. Стамболийски, общ. Стамболийски, обл. Пловдив",14235
68850,"гр. Стара Загора, общ. Стара Загора, обл. Стара Загора",85786
69633,"гр. Стражица, общ. Стражица, обл. Велико Търново",50073
69660,"гр. Стралджа, общ. Стралджа, обл. Ямбол",79305
69835,"гр. Стрелча, общ. Стрелча, обл. Пазарджик",119018
70175,"гр. Суворово, общ. Суворово, обл. Варна",58075
70247,"гр. Сунгурларе, общ. Сунгурларе, обл. Бургас",50290
70295,"гр. Сухиндол, общ. Сухиндол, обл. Велико Търново",65798
70528,"гр. Съединение, общ. Съединение, обл. Пловдив",100200
70648,"гр. Сърница, общ. Сърница, обл. Пазарджик",112378
72165,"гр. Твърдица, общ. Твърдица, обл. Сливен",155167
72271,"гр. Тервел, общ. Тервел, обл. Добрич",43589
72343,"гр. Тетевен, общ. Тетевен, обл. Ловеч",110788
72761,"гр. Тополовград, общ. Тополовград, обл. Хасково",96815
73198,"гр. Троян, общ. Троян, обл. Ловеч",60243
73273,"гр. Трън, общ. Трън, обл. Перник",21582
73359,"гр. Тръстеник, общ. Долна Митрополия, обл. Плевен",88710
73403,"гр. Трявна, общ. Трявна, обл. Габрово",16122
73496,"гр. Тутракан, общ. Тутракан, обл. Силистра",64444
73626,"гр. Търговище, общ. Търговище, обл. Търговище",87427
75054,"гр. Угърчин, общ. Угърчин, обл. Ловеч",134806
77058,"гр. Хаджидимово, общ. Хаджидимово, обл. Благоевград",22671
77181,"гр. Харманли, общ. Харманли, обл. Хасково",51477
77195,"гр. Хасково, общ. Хасково, обл. Хасково",95182
77270,"гр. Хисаря, общ. Хисаря, обл. Пловдив",90115
77308,"гр. Цар Калоян, общ. Цар Калоян, обл. Разград",69518
48619,"гр. Царево, общ. Царево, обл. Бургас",35179
80371,"гр. Чепеларе, общ. Чепеларе, обл. Смолян",73861
80501,"гр. Червен бряг, общ. Червен бряг, обл. Плевен",40760
81178,"гр. Черноморец, общ. Созопол, обл. Бургас",30561
81390,"гр. Чипровци, общ. Чипровци, обл. Монтана",65467
81414,"гр. Чирпан, общ. Чирпан, обл. Стара Загора",73163
83017,"гр. Шабла, общ. Шабла, обл. Добрич",70087
15944,"гр. Шивачево, общ. Твърдица, обл. Сливен",78359
83199,"гр. Шипка, общ. Казанлък, обл. Стара Загора",37988
83510,"гр. Шумен, общ. Шумен, обл. Шумен",136358
87014,"гр. Ябланица, общ. Ябланица, обл. Ловеч",57842
87338,"гр. Якоруда, общ. Якоруда, обл. Благоевград",254031
87374,"гр. Ямбол, общ. Ямбол, обл. Ямбол",90724
37318,"ман. Клисурски манастир, общ. Вършец, обл. Монтана",0
62685,"ман. Рилски манастир, общ. Рила, обл. Кюстендил",231600
00881,"с. Абланица, общ. Велинград, обл. Пазарджик",11874
00028,"с. Абланица, общ. Ловеч, обл. Ловеч",23610
00014,"с. Абланица, общ. Хаджидимово, обл. Благоевград",33663
00031,"с. Абрит, общ. Крушари, обл. Добрич",19673
00062,"с. Аврамово, общ. Ардино, обл. Кърджали",6197
00059,"с. Аврамово, общ. Якоруда, обл. Благоевград",5284
00084,"с. Аврен, общ. Аврен, обл. Варна",58364
00093,"с. Аврен, общ. Крумовград, обл. Кърджали",35229
00103,"с. Агатово, общ. Севлиево, обл. Габрово",36488
00117,"с. Азманите, общ. Трявна, обл. Габрово",0
00895,"с. Айдемир, общ. Силистра, обл. Силистра",64745
00148,"с. Айрово, общ. Кърджали, обл. Кърджали",0
00165,"с. Аканджиево, общ. Белово, обл. Пазарджик",11606
00179,"с. Акациево, общ. Видин, обл. Видин",3486
00196,"с. Аламовци, общ. Златоград, обл. Смолян",18371
00206,"с. Албанци, общ. Джебел, обл. Кърджали",807
00215,"с. Алваново, общ. Търговище, обл. Търговище",14860
00223,"с. Алдомировци, общ. Сливница, обл. София",36582
00254,"с. Алеко Константиново, общ. Пазарджик, обл. Пазарджик",15864
00240,"с. Алеково, общ. Алфатар, обл. Силистра",49570
00237,"с. Алеково, общ. Свищов, обл. Велико Търново",34698
00268,"с. Александрия, общ. Крушари, обл. Добрич",35032
00299,"с. Александрово, общ. Ловеч, обл. Ловеч",41690
00309,"с. Александрово, общ. Павел баня, обл. Стара Загора",78630
00271,"с. Александрово, общ. Поморие, обл. Бургас",11093
00285,"с. Александрово, общ. Свищов, обл. Велико Търново",11686
00330,"с. Александрово, общ. Смядово, обл. Шумен",23943
00343,"с. Александрово, общ. Стралджа, обл. Ямбол",37264
00312,"с. Александрово, общ. Търговище, обл. Търговище",15469
00326,"с. Александрово, общ. Хасково, обл. Хасково",21601
00360,"с. Александър Стамболийски, общ. Генерал Тошево, обл. Добрич",27921
83421,"с. Алендарова, общ. Велинград, обл. Пазарджик",0
00388,"с. Алиговска, общ. Смолян, обл. Смолян",0
00391,"с. Алино, общ. Самоков, обл. София",48571
00401,"с. Алтимир, общ. Бяла Слатина, обл. Враца",32058
00429,"с. Алцек, общ. Добрич-селска, обл. Добрич",10271
00446,"с. Ангел войвода, общ. Минерални бани, обл. Хасково",12452
00432,"с. Ангеларий, общ. Тервел, обл. Добрич",12441
00456,"с. Ангелов, общ. Габрово, обл. Габрово",0
00480,"с. Анево, общ. Сопот, обл. Пловдив",19171
00919,"с. Антимово, общ. Видин, обл. Видин",11962
00494,"с. Антимово, общ. Тутракан, обл. Силистра",17397
00504,"с. Антон, общ. Антон, обл. София",76098
00521,"с. Аплаци, общ. Елена, обл. Велико Търново",0
00549,"с. Априлово, общ. Горна Малина, обл. София",12050
00552,"с. Априлово, общ. Гълъбово, обл. Стара Загора",14660
00566,"с. Априлово, общ. Попово, обл. Търговище",19732
00905,"с. Априлци, общ. Кирково, обл. Кърджали",1735
00571,"с. Априлци, общ. Пазарджик, обл. Пазарджик",16567
00583,"с. Арбанаси, общ. Велико Търново, обл. Велико Търново",11881
00597,"с. Арда, общ. Смолян, обл. Смолян",17928
00610,"с. Арзан, общ. Брезник, обл. Перник",8321
00624,"с. Арковна, общ. Дългопол, обл. Варна",17316
00638,"с. Армените, общ. Габрово, обл. Габрово",10126
00641,"с. Армянковци, общ. Трявна, обл. Габрово",0
00655,"с. Арнаутито, общ. Стара Загора, обл. Стара Загора",22129
00669,"с. Арпаджик, общ. Мадан, обл. Смолян",0
00672,"с. Арчар, общ. Димово, обл. Видин",54418
00697,"с. Асен, общ. Павел баня, обл. Стара Загора",18906
00713,"с. Асеновец, общ. Нова Загора, обл. Сливен",20624
00744,"с. Асеново, общ. Никопол, обл. Плевен",18916
00730,"с. Асеново, общ. Стражица, обл. Велико Търново",37105
00758,"с. Асеново, общ. Тунджа, обл. Ямбол",12790
00761,"с. Асеновци, общ. Левски, обл. Плевен",44238
00789,"с. Аспарухово, общ. Дългопол, обл. Варна",90717
00775,"с. Аспарухово, общ. Карнобат, обл. Бургас",24746
