MUNICIPALITY_CODE	PROVINCE_CODE	contains	EKATTE_ID	NAME_BG	TYPE_BG	NAME_EN	TYPE_EN
DOB29	DOB		"10032"	Ваклино	с.	Vaklino	с.
BLG42	BLG		"10046"	Ваклиново	с.	Vaklinovo	с.
KNL31	KNL		"10050"	Ваксево	с.	Vaksevo	с.
PVN16	PVN		"10080"	Варана	с.	Varana	с.
BGS13	BGS		"10094"	Варвара	с.	Varvara	с.
PAZ29	PAZ		"10104"	Варвара	с.	Varvara	с.
VTR28	VTR		"10118"	Вардим	с.	Vardim	с.
TGV35	TGV		"10121"	Вардун	с.	Vardun	с.
VAR06	VAR		"10135"	Варна	гр.	Varna	гр.
SLS34	SLS		"10149"	Варненци	с.	Varnentsi	с.
HKV28	HKV		"10152"	Варник	с.	Varnik	с.
BGS06	BGS		"10166"	Варовник	с.	Varovnik	с.
SHU30	SHU		"10176"	Васил Друмев	с.	Vasil Drumev	с.
DOB12	DOB		"10183"	Василево	с.	Vasilevo	с.
PDV13	PDV		"10207"	Васил Левски	с.	Vasil Levski	с.
SLS01	SLS		"10210"	Васил Левски	с.	Vasil Levski	с.
SZR23	SZR		"10224"	Васил Левски	с.	Vasil Levski	с.
TGV35	TGV		"10238"	Васил Левски	с.	Vasil Levski	с.
MON07	MON		"10255"	Василовци	с.	Vasilovtsi	с.
SFO16	SFO		"10269"	Василовци	с.	Vasilovtsi	с.
LOV33	LOV		"10272"	Васильово	с.	Vasilyovo	с.
HKV17	HKV		"10286"	Васково	с.	Vaskovo	с.
PDV13	PDV		"10291"	Ведраре	с.	Vedrare	с.
DOB15	DOB		"10307"	Ведрина	с.	Vedrina	с.
BGS23	BGS		"10313"	Ведрово	с.	Vedrovo	с.
BGS23	BGS		"10327"	Везенково	с.	Vezenkovo	с.
SHU21	SHU		"10330"	Векилски	с.	Vekilski	с.
KRZ16	KRZ		"10358"	Велешани	с.	Veleshani	с.
BGS13	BGS		"10361"	Велика	с.	Velika	с.
HKV09	HKV		"10375"	Великан	с.	Velikan	с.
KRZ08	KRZ		"10389"	Великденче	с.	Velikdenche	с.
TGV22	TGV		"10392"	Великденче	с.	Velikdenche	с.
SZR07	SZR		"10416"	Великово	с.	Velikovo	с.
DOB12	DOB		"10422"	Великово	с.	Velikovo	с.
TGV02	TGV	(1:67492)	"10433"	Великовци	с.	Velikovtsi	с.
VTR04	VTR		"10447"	Велико Търново	гр.	Veliko Tarnovo	гр.
PAZ08	PAZ		"10450"	Велинград	гр.	Velingrad	гр.
SHU30	SHU		"10464"	Велино	с.	Velino	с.
