"SETTLEMENT","MUNICIPALITY","PROVINCE","POSTAL_CODE","EKATTE_ID"
"Малкоч","Кирково","Кърджали","6898","46680"
"Мало Бучино","Район Овча Купел","София","1362","#N/A"
"Мало Конаре","Пазарджик","Пазарджик","4450","46749"
"Мало Крушево","Хисаря","Пловдив","4183","46752"
"Мало Малово","Драгоман","София","2205","46766"
"Мало Пещене","Враца","Враца","3078","46807"
"Мало село","Бобов дол","Кюстендил","2636","46824"
"Малоградец","Антоново","Търговище","7978","46735"
"Маломир","Върбица","Шумен","9871","46773"
"Маломир","Тунджа","Ямбол","8650","46783"
"Маломирово","Елхово","Ямбол","8737","46797"
"Малорад","Борован","Враца","3255","46810"
"Малуша","Габрово","Габрово","5304","49655"
"Малчика","Левски","Плевен","5917","46841"
"Малчовци","Велико Търново","Велико Търново","5050","46855"
"Малчовци","Трявна","Габрово","5367","46869"
"Малък Девeсил","Крумовград","Кърджали","6935","#N/A"
"Малък дол","Братя Даскалови","Стара Загора","6245","49998"
"Малък извор","Ябланица","Ловеч","5734","46886"
"Малък извор","Стамболово","Хасково","6394","46899"
"Малък манастир","Елхово","Ямбол","8742","46904"
"Малък Поровец","Исперих","Разград","7429","46913"
"Малък Преславец","Главиница","Силистра","7620","46927"
"Малък чардак","Съединение","Пловдив","4194","46944"
"Мамарчево","Болярово","Ямбол","8743","46958"
"Манаселска река","Правец","София","2168","46961"
"Манастир","Провадия","Варна","9224","46975"
"Манастир","Лъки","Пловдив","4245","46989"
"Манастир","Хасково","Хасково","6390","46992"
"Манастирица","Попово","Търговище","7856","47007"
"Манастирище","Хайредин","Враца","3354","47010"
"Манастирище","Своге","София","2288","47024"
"Манастирско","Лозница","Разград","7285","47038"
"Манастирци","Лозница","Разград","7292","47041"
"Мандра","Хасково","Хасково","6357","47055"
"Мандрица","Ивайловград","Хасково","6585","47069"
"Маневци","Трявна","Габрово","5363","47072"
"Маноле","Марица","Пловдив","4137","47086"
"Манолич","Сунгурларе","Бургас","8453","47096"
"Манолово","Павел баня","Стара Загора","6152","47101"
"Манолско Конаре","Марица","Пловдив","4138","47113"
"Маноя","Дряново","Габрово","5392","47127"
"Манушевци","Антоново","Търговище","7967","47130"
"Манчево","Момчилград","Кърджали","6800","47144"
"Марафелци","Елена","Велико Търново","5070","47158"
"Мараш","Шумен","Шумен","9745","47161"
"Марговци","Велико Търново","Велико Търново","5035","47175"
"Марикостиново","Петрич","Благоевград","2870","47189"
"Маринка","Бургас","Бургас","8154","47202"
"Марино поле","Петрич","Благоевград","2867","47247"
"Марино поле","Карлово","Пловдив","4365","47250"
"Мариновци","Елена","Велико Търново","5097","47227"
"Мариновци","Севлиево","Габрово","5445","#N/A"
"Марица","Самоков","София","2044","47264"
"Марково","Родопи","Пловдив","4108","47295"
"Марково","Братя Даскалови","Стара Загора","6247","47305"
"Марково","Каспичан","Шумен","9973","47319"
"Марково равнище","Роман","Враца","3133","47322"
"Мартен","Русе","Русе","7058","47336"
"Мартино","Кърджали","Кърджали","6745","47342"
"Мартиново","Чипровци","Монтана","3459","47353"
"Марулево","Благоевград","Благоевград","2725","47370"
"Маруцековци","Трявна","Габрово","5360","47384"
"Марчево","Гърмен","Благоевград","2949","47408"
"Марчино","Попово","Търговище","7869","47411"
"Марян","Елена","Велико Търново","5084","47425"
"Масларево","Полски Тръмбеш","Велико Търново","5198","47439"
"Маслиново","Хасково","Хасково","6388","47442"
"Матешовци","Трявна","Габрово","5351","47456"
"Маточина","Свиленград","Хасково","6535","47468"
"Махалата","Струмяни","Благоевград","2849","47473"
"Махалници","Елена","Велико Търново","5081","47487"
"Маца","Раднево","Стара Загора","6276","47500"
"Медвен","Котел","Сливен","8987","47528"
"Медевци","Кирково","Кърджали","6865","47531"
"Меден бук","Ивайловград","Хасково","6598","47545"
"Меден кладенец","Тунджа","Ямбол","8639","47562"
"Медени поляни","Сърница","Пазарджик","4637","47559"
"Медешевци","Грамада","Видин","3845","47583"
"Медковец","Медковец","Монтана","3670","47593"
"Медникарово","Гълъбово","Стара Загора","6294","47603"
"Медовене","Кубрат","Разград","7319","47617"
"Медовец","Дългопол","Варна","9238","47620"
"Медовина","Попово","Търговище","7863","47634"
"Медовница","Димово","Видин","3947","47648"
"Медово","Поморие","Бургас","8214","47651"
"Медово","Добрич","Добрич","9388","#N/A"
"Медово","Братя Даскалови","Стара Загора","6235","47665"
"Межда","Тунджа","Ямбол","8644","47682"
"Межден","Дулово","Силистра","7672","47696"
"Междени","Габрово","Габрово","5343","47706"
"Мездра","Мездра","Враца","3100","47714"
"Мездрея","Берковица","Монтана","3515","47723"
"Мезек","Свиленград","Хасково","6521","47737"
"Мелник","Сандански","Благоевград","2820","47754"
"Мелница","Елхово","Ямбол","8755","47768"
"Меляне","Георги Дамяново","Монтана","3472","47771"
"Менгишево","Върбица","Шумен","9885","47785"
"Мендово","Петрич","Благоевград","2893","47799"
"Мененкьово","Белово","Пазарджик","4482","47812"
"Мерданя","Лясковец","Велико Търново","5147","47826"
"Меричлери","Димитровград","Хасково","6430","47843"
"Места","Банско","Благоевград","2772","47857"
"Метлика","Крумовград","Кърджали","6938","47860"
"Метличина","Вълчи дол","Варна","9291","47874"
"Метличина","Кирково","Кърджали","6873","47888"
"Метличка","Кирково","Кърджали","6880","47891"
"Методиево","Добрич","Добрич","9375","#N/A"
"Методиево","Върбица","Шумен","9867","47915"
"Метохия","Трекляно","Кюстендил","2556","47929"
"Мечка","Плевен","Плевен","5843","47963"
"Мечка","Иваново","Русе","7091","47977"
"Мечкарево","Сливен","Сливен","8868","47980"
"Мечковица","Габрово","Габрово","5307","47994"
"Мечковци","Ихтиман","София","2060","48009"
"Мечкул","Симитли","Благоевград","2754","48012"
"Мечово","Антоново","Търговище","7997","48026"
"Мещица","Перник","Перник","2353","48037"
"Мизия","Мизия","Враца","3330","48043"
"Мийковци","Елена","Велико Търново","5098","48057"
"Микре","Угърчин","Ловеч","5572","48060"
"Микрево","Струмяни","Благоевград","2826","49686"
"Миладиново","Кърджали","Кърджали","6660","48074"
"Миладиновци","Добрич","Добрич","9431","#N/A"
"Миладиновци","Търговище","Търговище","7787","48091"
"Миладиновци","Тунджа","Ямбол","8657","48101"
"Миланово","Своге","София","2280","48129"
"Миланово","Велики Преслав","Шумен","9859","48132"
"Миле","Мадан","Смолян","4921","48146"
"Милево","Садово","Пловдив","4131","48152"
"Милевци","Трявна","Габрово","5350","48177"
"Миленча","Троян","Ловеч","5627","#N/A"
"Милино","Антоново","Търговище","7984","48194"
"Милковица","Гулянци","Плевен","5968","48204"
"Милково","Смолян","Смолян","4779","48218"
"Милковци","Габрово","Габрово","5345","48235"
"Милкьовци","Трън","Перник","2475","48249"
"Милославци","Трън","Перник","2478","48252"
"Милчина лъка","Грамада","Видин","3846","48266"
"Мина Болшевик","Драгоман","София","2220","#N/A"
"Мина Черно море","Бургас","Бургас","8115","#N/A"
"Миндя","Велико Търново","Велико Търново","5044","48278"
"Миневци","Елена","Велико Търново","5083","48283"
"Минерални бани","Минерални бани","Хасково","6343","48297"
"Минзухар","Черноочене","Кърджали","6665","48307"
"Мириовец","Ябланица","Ловеч","5735","#N/A"
"Мирково","Мирково","София","2086","48324"
"Мировец","Търговище","Търговище","7751","48338"
"Мирово","Стражица","Велико Търново","5158","48341"
"Мирово","Ихтиман","София","2059","48369"
"Мирово","Братя Даскалови","Стара Загора","6255","48372"
"Мировци","Нови пазар","Шумен","9921","48386"
"Мировяне","Район Нови Искър","София","1289","#N/A"
"Миролюбово","Бургас","Бургас","8119","48409"
"Мирчовци","Елена","Велико Търново","5094","48430"
"Мирянци","Пазарджик","Пазарджик","4443","48444"
"Митино","Петрич","Благоевград","2857","48458"
"Митовска","Мадан","Смолян","4909","48461"
"Митровци","Чипровци","Монтана","3464","48475"
"Михайлово","Хайредин","Враца","3355","48492"
"Михайлово","Стара Загора","Стара Загора","6051","48502"
"Михайловци","Габрово","Габрово","5347","48516"
"Михалич","Вълчи дол","Варна","9284","48524"
"Михалич","Свиленград","Хасково","6537","48533"
"Михалково","Девин","Смолян","4820","48547"
"Михалци","Павликени","Велико Търново","5248","48550"
"Михилци","Хисаря","Пловдив","4361","48564"
"Михнево","Петрич","Благоевград","2862","48578"
"Миховци","Трявна","Габрово","5365","48581"
"Мичковци","Габрово","Габрово","5343","48605"
"Мишевско","Джебел","Кърджали","6840","48622"
"Мишеморков хан","Велико Търново","Велико Търново","5035","48636"
"Мишкарете","Ябланица","Ловеч","5767","#N/A"
"Млада гвардия","Ветрино","Варна","9228","48653"
"Младежко","Малко Търново","Бургас","8173","48667"
"Младен","Севлиево","Габрово","5428","48670"
"Младиново","Свиленград","Хасково","6531","48698"
"Младово","Сливен","Сливен","8886","48708"
"Мламолово","Бобов дол","Кюстендил","2654","48711"
"Млекарево","Нова Загора","Сливен","8960","48725"
"Млечево","Севлиево","Габрово","5441","48742"
"Млечино","Ардино","Кърджали","6781","48756"
"Могила","Стара Загора","Стара Загора","6052","48765"
"Могила","Каспичан","Шумен","9932","48773"
"Могила","Тунджа","Ямбол","8627","48787"
"Могилец","Омуртаг","Търговище","7943","48790"
"Могилино","Две могили","Русе","7165","30380"
"Могилите","Трявна","Габрово","5350","48800"
"Могилица","Смолян","Смолян","4761","48814"
"Могилище","Каварна","Добрич","9665","48828"
"Могилово","Чирпан","Стара Загора","6239","48831"
"Могиляне","Кирково","Кърджали","6867","48845"
"Модрен","Джебел","Кърджали","6840","#N/A"
"Мокрен","Котел","Сливен","8994","00045"
"Мокреш","Вълчедръм","Монтана","3647","48859"
"Мокреш","Велики Преслав","Шумен","9861","48862"
"Мокрище","Пазарджик","Пазарджик","4408","48876"
"Момин проход","Костенец","София","2035","50245"
"Момин сбор","Велико Търново","Велико Търново","5067","48951"
"Момина клисура","Белово","Пазарджик","4468","48903"
"Момина сълза","Момчилград","Кърджали","6830","48917"
"Момина църква","Средец","Бургас","8320","29221"
"Момино","Търговище","Търговище","7706","48920"
"Момино","Хасково","Хасково","6387","48934"
"Момино село","Раковски","Пловдив","4143","48948"
"Моминско","Садово","Пловдив","4118","48965"
"Момково","Свиленград","Хасково","6542","48979"
"Момчилград","Момчилград","Кърджали","6800","48996"
"Момчилово","Ветрино","Варна","9221","49000"
"Момчиловци","Смолян","Смолян","4750","49014"
"Монтана",0,"Монтана","3400","#N/A"
"Морава","Свищов","Велико Търново","5291","49028"
"Моравица","Мездра","Враца","3145","49031"
"Моравица","Антоново","Търговище","7974","49045"
"Моравка","Антоново","Търговище","7992","49059"
"Моровеците","Габрово","Габрово","5304","49062"
"Мортагоново","Разград","Разград","7248","49093"
"Морянци","Крумовград","Кърджали","6959","49103"
"Московец","Карлово","Пловдив","4333","49117"
"Мост","Кърджали","Кърджали","6670","49120"
"Мостич","Велики Преслав","Шумен","9878","49148"
"Мостово","Асеновград","Пловдив","4257","49151"
"Мочуре","Рудозем","Смолян","4978","49165"
"Мощанец","Благоевград","Благоевград","2729","49179"
"Мракетинци","Трън","Перник","2477","49182"
"Мрамор","Трън","Перник","2487","49196"
"Мрамор","Район Нови Искър","София","1261","#N/A"
"Мрамор","Тополовград","Хасково","6562","49219"
"Мраморен","Враца","Враца","3054","49223"
"Мрахори","Габрово","Габрово","5345","49237"
"Мраченик","Карлово","Пловдив","4362","49240"
"Мрежичко","Руен","Бургас","8538","49254"
"Мрежичко","Джебел","Кърджали","6845","49268"
"Мръзеци","Трявна","Габрово","5367","49271"
"Мугла","Смолян","Смолян","4716","49285"
"Музга","Габрово","Габрово","5333","49299"
"Мулдава","Асеновград","Пловдив","4249","49309"
"Мурга","Черноочене","Кърджали","6725","49326"
"Мургаш","Годеч","София","2247","49334"
"Мургово","Кърджали","Кърджали","6679","49343"
"Мурено","Земен","Перник","2437","49357"
"Мурсалево","Кочериново","Кюстендил","2623","49360"
"Муртинци","Брезник","Перник","2382","49374"
"Мусачево","Елин Пелин","София","2139","49388"
"Мусачево","Гълъбово","Стара Загора","6284","49391"
"Мусево","Ардино","Кърджали","6774","49401"
"Муселиево","Никопол","Плевен","5963","49415"
"Мусина","Павликени","Велико Търново","5247","49429"
"Мусомища","Гоце Делчев","Благоевград","2920","#N/A"
"Мустрак","Свиленград","Хасково","6527","49446"
"Мухово","Ихтиман","София","2061","49450"
"Муця","Дряново","Габрово","5370","49463"
"Мъглен","Айтос","Бургас","8523","49477"
"Мъглене","Кирково","Кърджали","6865","49480"
"Мъглиж","Мъглиж","Стара Загора","6180","49494"
"Мъглища","Мадан","Смолян","4910","49504"
"Мъдрево","Кубрат","Разград","7323","49518"
"Мъдрец","Кърджали","Кърджали","6674","49521"
"Мъдрец","Гълъбово","Стара Загора","6292","49535"
"Мъдрино","Карнобат","Бургас","8444","49549"
"Мърводол","Невестино","Кюстендил","2595","49566"
"Мързян","Златоград","Смолян","4996","#N/A"
"Мъртвината","Елена","Велико Търново","5094","49583"
"Мърчаево","Район Витоша","София","1696","#N/A"
"Мърчево","Бойчиновци","Монтана","3443","49607"
"Мътеница","Хисаря","Пловдив","4176","49624"
"Навъсен","Симеоновград","Хасково","6497","51010"
"Надарево","Търговище","Търговище","7740","51024"
"Надарци","Смолян","Смолян","4758","51038"
"Надежден","Харманли","Хасково","6459","51041"
"Найден Герово","Съединение","Пловдив","4185","51069"
"Найденово","Братя Даскалови","Стара Загора","6224","51072"
"Нане","Кирково","Кърджали","6800","51086"
"Нановица","Момчилград","Кърджали","6830","51097"
"Нановица","Яблавица","Ловеч","5752","#N/A"
"Нареченски бани","Асеновград","Пловдив","4239","51127"
"Насалевци","Трън","Перник","2478","51130"
"Наум","Каолиново","Шумен","9962","51158"
"Научене","Нова Загора","Сливен","8929","51161"
"Нацовци","Велико Търново","Велико Търново","5055","51175"
"Начево","Драгоман","София","2213","51189"
"Небеска","Черноочене","Кърджали","6693","51192"
"Невестино","Карнобат","Бургас","8431","51202"
"Невестино","Кърджали","Кърджали","6722","35136"
"Невестино","Невестино","Кюстендил","2595","51216"
"Невша","Ветрино","Варна","9229","51233"
"Негован","Район Нови Искър","София","1222","#N/A"
"Неговановци","Ново село","Видин","3774","51264"
"Негованци","Радомир","Перник","2417","51278"
"Негушево","Горна Малина","София","2123","51281"
"Недан","Павликени","Велико Търново","5231","51295"
"Неделево","Съединение","Пловдив","4187","51305"
"Неделино","Неделино","Смолян","4990","51319"
"Неделище","Драгоман","София","2213","51322"
"Неделкова Гращица","Невестино","Кюстендил","2594","51336"
"Неделково","Трън","Перник","2477","51343"
"Недоклан","Разград","Разград","7251","51353"
"Недялковци","Елена","Велико Търново","5070","51367"
"Недялковци","Трявна","Габрово","5350","51370"
"Недялско","Стралджа","Ямбол","8684","51384"
"Нейково","Каварна","Добрич","9692","51408"
"Нейково","Котел","Сливен","8993","51398"
"Нейкьовец","Ихтиман","София","2061","51411"
"Нейчовци","Дряново","Габрово","5380","51439"
"Ненково","Кърджали","Кърджали","6611","51442"
"Неново","Провадия","Варна","9234","51456"
"Неновци","Трявна","Габрово","5367","51469"
"Неофит Бозвелиево","Момчилград","Кърджали","6831","51473"
"Неофит Рилски","Ветрино","Варна","9223","51487"
"Непразненци","Брезник","Перник","2396","51490"
"Несебър","Несебър","Бургас","8230","51500"
"Несла","Драгоман","София","2213","51514"
"Нефела","Враца","Враца","3039","51528"
"Нешевци","Елена","Велико Търново","5097","51531"
"Нивянин","Борован","Враца","3241","51559"
"Никачковци","Трявна","Габрово","5365","51562"
"Никола Козлево","Никола Козлево","Шумен","9955","51651"
"Николаевка","Суворово","Варна","9172","51584"
"Николаево","Стражица","Велико Търново","5168","51593"
"Николаево","Трявна","Габрово","5351","51603"
"Николаево","Радомир","Перник","2406","51617"
"Николаево","Плевен","Плевен","5874","51620"
"Николаево","Сливен","Сливен","8873","51634"
"Николаево","Николаево","Стара Загора","6190","51648"
"Николичевци","Кюстендил","Кюстендил","2599","52400"
"Николово","Монтана","Монтана","3429","51665"
"Николово","Русе","Русе","7057","51679"
"Николово","Хасково","Хасково","6364","51682"
"Николовци","Елена","Велико Търново","5070","51696"
"Николчовци","Елена","Велико Търново","5098","51706"
"Николчовци","Габрово","Габрово","5345","51715"
"Никопол","Никопол","Плевен","5940","51723"
"Никудин","Струмяни","Благоевград","2839","51737"
"Никюп","Велико Търново","Велико Търново","5068","51740"
"Нисово","Иваново","Русе","7079","51768"
"Ничовци","Елена","Велико Търново","5097","51771"
"Нова бяла река","Върбица","Шумен","9883","51785"
"Нова Върбовка","Стражица","Велико Търново","5169","51799"
"Нова Загора","Нова Загора","Сливен","8900","51809"
"Нова Камена","Тервел","Добрич","9493","51812"
"Нова ливада","Ивайловград","Хасково","6595","51857"
"Нова Ловча","Хаджидимово","Благоевград","2925","51860"
"Нова махала","Батак","Пазарджик","4581","51874"
"Нова махала","Николаево","Стара Загора","6191","51888"
"Нова Надежда","Хасково","Хасково","6330","51891"
"Нова Попина","Ситово","Силистра","7582","51901"
"Нова Черна","Тутракан","Силистра","7645","51956"
"Нова Шипка","Долни чифлик","Варна","9116","51963"
"Новаково","Аксаково","Варна","9149","51826"
"Новаково","Асеновград","Пловдив","4262","51830"
"Новаковци","Габрово","Габрово","5332","51843"
"Новачево","Сливен","Сливен","8853","51929"
"Новачене","Никопол","Плевен","5950","51932"
"Новачене","Ботевград","София","2147","51946"
"Новград","Ценово","Русе","7133","51977"
"Нови извор","Асеновград","Пловдив","4265","32398"
"Нови Искър","Район Нови Искър","София","1280","#N/A"
"Нови пазар","Черноочене","Кърджали","6710","51994"
"Нови пазар","Нови пазар","Шумен","9900","52009"
"Нови хан","Елин Пелин","София","2110","52012"
"Нови чифлик","Кюстендил","Кюстендил","2531","52026"
"Ново Ботево","Добрич","Добрич","9356","#N/A"
"Ново бърдо","Драгоман","София","2212","52043"
"Ново градище","Стражица","Велико Търново","5175","52060"
"Ново Делчево","Сандански","Благоевград","2814","52074"
"Ново Железаре","Хисаря","Пловдив","4167","52088"
"Ново Кономлади","Петрич","Благоевград","2874","52091"
"Ново Лески","Хаджидимово","Благоевград","2923","52101"
"Ново Оряхово","Долни чифлик","Варна","9113","52115"
"Ново Паничарево","Приморско","Бургас","8152","52129"
"Ново село","Кресна","Благоевград","2847","#N/A"
"Ново село","Велико Търново","Велико Търново","5069","52177"
"Ново село","Ново село","Видин","3784","52180"
"Ново село","Кюстендил","Кюстендил","2534","52194"
"Ново село","Стамболийски","Пловдив","4221","52221"
"Ново село","Русе","Русе","7052","52235"
"Ново село","Самоков","София","2016","52249"
"Ново село","Стара Загора","Стара Загора","6062","52252"
"Ново Ходжово","Сандански","Благоевград","2831","52307"
"Ново Янково","Смядово","Шумен","9825","52310"
"Новогорци","Златарица","Велико Търново","5088","52057"
"Новосел","Шумен","Шумен","9807","52132"
"Новоселец","Нова Загора","Сливен","8958","52146"
"Новоселище","Черноочене","Кърджали","6697","52153"
"Новоселци","Видин","Видин","3725","52283"
"Новоселяне","Бобов дол","Кюстендил","2689","52297"
"Ноевци","Брезник","Перник","2394","52324"
"Ножарево","Главиница","Силистра","7615","52338"
"Ножарово","Самуил","Разград","7441","52341"
"Ножерите","Трявна","Габрово","5360","52355"
"Носеите","Трявна","Габрово","5360","52369"
"Ночево","Черноочене","Кърджали","6726","52372"
"Нюшковци","Елена","Велико Търново","5097","52386"
"Обединение","Полски Тръмбеш","Велико Търново","5195","53014"
"Обел","Благоевград","Благоевград","2738","53031"
"Обзор","Несебър","Бургас","8250","53045"
"Обидим","Банско","Благоевград","2776","53059"
"Обител","Омуртаг","Търговище","7920","53062"
"Обичник","Момчилград","Кърджали","6800","53076"
"Обнова","Левски","Плевен","5922","53089"
"Оборище","Вълчи дол","Варна","9147","53093"
"Оборище","Панагюрище","Пазарджик","4522","53103"
"Обретеник","Борово","Русе","7170","53117"
"Оброчище","Балчик","Добрич","9630","53120"
"Обручище","Гълъбово","Стара Загора","6290","53134"
"Овен","Дулово","Силистра","7671","53148"
"Овощарци","Габрово","Габрово","5342","53151"
"Овощна","Златарица","Велико Търново","5088","53165"
"Овощник","Казанлък","Стара Загора","6138","53179"
"Овча могила","Свищов","Велико Търново","5295","53196"
"Овчага","Провадия","Варна","9233","53182"
"Овчари","Крумовград","Кърджали","6922","53206"
"Овчарово","Добрич","Добрич","9395","#N/A"
"Овчарово","Търговище","Търговище","7747","53223"
"Овчарово","Харманли","Хасково","6468","53237"
"Овчарово","Шумен","Шумен","9805","53240"
"Овчарци","Сапарева баня","Кюстендил","2647","53254"
"Овчарци","Раднево","Стара Загора","6264","53268"
"Овчево","Джебел","Кърджали","6846","53271"
"Овчеполци","Пазарджик","Пазарджик","4448","53285"
"Овчи кладенец","Тунджа","Ямбол","8660","53299"
"Оглед","Рудозем","Смолян","4972","53309"
"Огнен","Сунгурларе","Бургас","8467","#N/A"
"Огняново","Гърмен","Благоевград","2947","53326"
"Огняново","Крушари","Добрич","9423","53357"
"Огняново","Пазарджик","Пазарджик","4417","53335"
"Огняново","Елин Пелин","София","2117","53343"
"Огоя","Своге","София","2297","53374"
"Оградна","Неделино","Смолян","4990","53388"
"Огражден","Генерал Тошево","Добрич","9529","53391"
"Одоровци","Брусарци","Монтана","3679","53401"
"Одраница","Земен","Перник","2408","53415"
"Одринци","Добрич","Добрич","9357","#N/A"
"Одринци","Ивайловград","Хасково","6584","53429"
"Одърне","Пордим","Плевен","5893","53446"
"Одърци","Добрич","Добрич","9362","#N/A"
"Озърновци","Брезник","Перник","2373","53463"
"Околиите","Трявна","Габрово","5350","53477"
"Окоп","Тунджа","Ямбол","8669","53480"
"Окорш","Дулово","Силистра","7680","53494"
"Оман","Болярово","Ямбол","8727","53504"
"Омарчево","Нова Загора","Сливен","8921","53518"
"Омарчево","Каолиново","Шумен","9949","53521"
"Омуртаг","Омуртаг","Търговище","7900","53535"
"Оногур","Тервел","Добрич","9486","53549"
"Опака","Опака","Търговище","7840","53552"
"Опан","Опан","Стара Загора","6078","53576"
"Опанец","Добрич","Добрич","9347","#N/A"
"Опанец","Плевен","Плевен","5851","53583"
"Опицвет","Костинброд","София","2235","53607"
"Оплетня","Своге","София","2276","53610"
"Опълченец","Братя Даскалови","Стара Загора","6254","53624"
"Опълченско","Кърджали","Кърджали","6641","53638"
"Орач","Антоново","Търговище","7977","53641"
"Орех","Крумовград","Кърджали","6920","54821"
"Ореховица","Долна Митрополия","Плевен","5859","53655"
"Орехово","Чепеларе","Смолян","4877","53669"
"Ореш","Свищов","Велико Търново","5280","53672"
"Ореша","Тетевен","Ловеч","5749","#N/A"
"Орешак","Аксаково","Варна","9151","53691"
"Орешак","Троян","Ловеч","5630","53707"
"Орешари","Крумовград","Кърджали","6929","53713"
"Ореше","Гърмен","Благоевград","2943","53727"
"Орешене","Ябланица","Ловеч","5763","53730"
"Орешене","Дулово","Силистра","7684","53744"
"Орешец","Димово","Видин","3945","14489"
"Орешец","Асеновград","Пловдив","4255","53761"
"Орешец","Харманли","Хасково","6475","53775"
"Орешино","Ивайловград","Хасково","6579","53789"
"Орешица","Смолян","Смолян","4727","#N/A"
"Орешник","Тополовград","Хасково","6561","53802"
"Орешница","Кърджали","Кърджали","6655","53816"
"Оризаре","Несебър","Бургас","8248","53822"
"Оризари","Родопи","Пловдив","4214","53833"
"Оризари","Твърдица","Сливен","8893","53847"
"Оризово","Братя Даскалови","Стара Загора","6253","53850"
"Орлинци","Средец","Бургас","8325","53984"
"Орлица","Кирково","Кърджали","6892","53878"
"Орлов дол","Тополовград","Хасково","6545","53895"
"Орлова могила","Добрич","Добрич","9359","#N/A"
"Орловец","Полски Тръмбеш","Велико Търново","5187","53905"
"Орлово","Котел","Сливен","8985","53919"
"Орлово","Хасково","Хасково","6354","53936"
"Орловци","Габрово","Габрово","5342","53948"
"Орляк","Тервел","Добрич","9490","53953"
"Орляне","Угърчин","Ловеч","5577","53967"
"Орсоя","Лом","Монтана","3665","53970"
"Орцево","Белица","Благоевград","2785","53998"
"Оряховец","Баните","Смолян","4942","54002"
"Оряховица","Стара Загора","Стара Загора","6061","54016"
"Оряхово","Оряхово","Враца","3300","54020"
"Оряхово","Любимец","Хасково","6555","54033"
"Оселна","Мездра","Враца","3171","54047"
"Оселна","Етрополе","София","2186","54050"
"Осен","Криводол","Враца","3059","54064"
"Осен","Главиница","Силистра","7634","54078"
"Осен","Търговище","Търговище","7746","54081"
"Осенарите","Велико Търново","Велико Търново","5037","54095"
"Осенец","Разград","Разград","7267","54105"
"Осеновец","Венец","Шумен","9753","54119"
"Осеновлаг","Своге","София","2291","54122"
"Осеново","Банско","Благоевград","2774","54136"
"Осеново","Аксаково","Варна","9155","54145"
"Осетеново","Павел баня","Стара Загора","6153","54153"
"Осиковица","Правец","София","2164","54170"
"Осиково","Гърмен","Благоевград","2965","54184"
"Осиково","Девин","Смолян","4819","54198"
"Осиково","Попово","Търговище","7862","54208"
"Осиковска Лъкавица","Правец","София","2165","#N/A"
"Осина","Сатовча","Благоевград","2953","54225"
"Осларка","Чирпан","Стара Загора","6216","54242"
"Ослен Криводол","Мездра","Враца","3169","54256"
"Осмар","Велики Преслав","Шумен","9879","54273"
"Осоица","Горна Малина","София","2121","54287"
"Остра могила","Котел","Сливен","8983","54300"
"Остра могила","Стара Загора","Стара Загора","6062","54314"
"Острец","Търговище","Търговище","7743","54345"
"Остри пазлак","Смолян","Смолян","4732","54359"
"Острица","Две могили","Русе","7161","54362"
"Острица","Чепеларе","Смолян","4859","54376"
"Остров","Оряхово","Враца","3340","54386"
"Островец","Кирково","Кърджали","6881","54393"
"Островица","Кърджали","Кърджали","6644","54403"
"Острово","Завет","Разград","7326","54417"
"Островче","Разград","Разград","7238","54420"
"Острокапци","Димово","Видин","3757","54434"
"Остър камък","Харманли","Хасково","6457","54448"
"Отец Кирилово","Брезово","Пловдив","4163","54451"
"Отец Паисиево","Калояново","Пловдив","4207","54465"
"Охлювец","Кърджали","Кърджали","6624","54479"
"Оходен","Враца","Враца","3079","54482"
"Охрид","Бойчиновци","Монтана","3438","54496"
"Очиндол","Мездра","Враца","3162","54506"
"Очуша","Костенец","София","2049","54554"
"Ошане","Белоградчик","Видин","3937","54517"
"Ошаните","Трявна","Габрово","5350","54523"
"Ощава","Кресна","Благоевград","2847","54537"
"Павел","Полски Тръмбеш","Велико Търново","5197","55018"
"Павел баня","Павел баня","Стара Загора","6155","55021"
"Павелско","Чепеларе","Смолян","4889","55035"
"Павлевци","Трявна","Габрово","5365","55049"
"Павликени","Павликени","Велико Търново","5200","55052"
"Паволче","Враца","Враца","3044","55070"
"Падала","Рила","Кюстендил","2632","55083"
"Падало","Крумовград","Кърджали","6960","55097"
"Падеш","Благоевград","Благоевград","2747","55107"
"Падина","Девня","Варна","9136","55110"
"Падина","Ардино","Кърджали","6771","55124"
"Падина","Главиница","Силистра","7617","55138"
"Падине","Земен","Перник","2438","55141"
"Пазарджик",0,"Пазарджик","4400","#N/A"
"Пазарци","Момчилград","Кърджали","6829","55169"
"Паисиево","Дулово","Силистра","7681","55186"
"Паисий","Горна Оряховица","Велико Търново","5136","55196"
"Пайдушко","Търговище","Търговище","7767","55201"
"Паламарца","Попово","Търговище","7850","55213"
"Палат","Струмяни","Благоевград","2829","55227"
"Палатник","Белица","Благоевград","2782","#N/A"
"Палатово","Дупница","Кюстендил","2681","55230"
"Палаузово","Стралджа","Ямбол","8698","55244"
"Палилула","Бойчиновци","Монтана","3439","55258"
"Палици","Елена","Велико Търново","5083","55261"
"Памидово","Лесичово","Пазарджик","4459","55275"
"Пампорово","Чепеларе","Смолян","4870","#N/A"
"Памукчии","Стара Загора","Стара Загора","6058","55289"
"Памукчии","Нови пазар","Шумен","9934","55292"
"Панагюрище","Панагюрище","Пазарджик","4500","55302"
"Панагюрски колонии","Панагюрище","Пазарджик","4520","59375"
