ekatte,shared_grounds_parent,shared_grounds_children,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc,area
10971,,52283,гр.,Видин,VID,VID09,VID09-00,1,1,1,1928,NW,737,63218
10985,,,с.,Видинци,JAM,JAM25,JAM25-00,3,8,3,1928,SE,738,9686
10999,,,с.,Видлица,MON,MON14,MON14-00,3,8,3,1928,NW,739,9538
11003,,,с.,Видно,DOB,DOB17,DOB17-05,3,7,2,1928,NE,740,39652
11017,,,с.,Видрар,PER,PER51,PER51-00,3,8,7,1928,SW,741,10312
11020,,,с.,Видраре,SFO,SFO34,SFO34-01,3,6,5,1928,SW,742,36018
11034,,,с.,Видрица,PER,PER08,PER08-00,3,8,7,1928,SW,743,7596
11048,,,с.,Виево,SML,SML31,SML31-08,3,7,8,1928,S,744,14779
11051,,,с.,Визица,BGS,BGS12,BGS12-00,3,8,4,1928,SE,745,47734
11065,61861,,с.,Виларе,VTR,VTR04,VTR04-00,3,8,5,1928,N,746,0
11079,,,с.,Винарово,VID,VID30,VID30-01,3,6,3,1928,NW,747,19753
11082,,,с.,Винарово,SZR,SZR36,SZR36-01,3,7,4,1928,SE,748,30546
11096,,,с.,Винарско,BGS,BGS08,BGS08-01,3,6,3,1928,SE,749,22726
11106,,,с.,Винево,HKV,HKV19,HKV19-04,3,7,5,1928,S,750,3669
11123,,,с.,Виница,PDV,PDV23,PDV23-03,3,6,3,1928,S,751,14763
11137,,,с.,Винище,MON,MON29,MON29-23,3,7,4,1928,NW,752,29329
11140,,,с.,Виноград,VTR,VTR31,VTR31-05,3,6,4,1928,N,753,29469
11154,,,с.,Виноградец,PAZ,PAZ29,PAZ29-06,3,5,4,1928,S,754,38690
11168,,,с.,Виногради,BLG,BLG40,BLG40-00,3,8,5,1928,SW,755,8266
11171,,,с.,Вирове,MON,MON29,MON29-24,3,7,3,1928,NW,756,16162
11185,,,с.,Вировско,VRC,VRC10,VRC10-04,3,7,4,1928,NW,757,23476
11199,,,с.,Вис,HKV,HKV11,HKV11-04,3,8,5,1928,S,758,5445
11209,,,с.,Вискяр,PER,PER32,PER32-00,3,8,7,1928,SW,759,10907
11212,,,с.,Висок,TGV,TGV22,TGV22-42,3,7,5,1928,NE,760,7640
11226,51442,,с.,Висока,KRZ,KRZ16,KRZ16-22,3,8,6,1928,S,761,0
11232,,,с.,Висока могила,KNL,KNL05,KNL05-00,3,8,6,1928,SW,762,6363
11243,,,с.,Висока поляна,KRZ,KRZ16,KRZ16-05,3,7,5,1928,S,763,8183
11257,,,с.,Висока поляна,SHU,SHU11,SHU11-04,3,7,5,1928,NE,764,10826
11260,48461,,с.,Високите,SML,SML16,SML16-00,3,8,7,1928,S,765,0
11274,48057,,с.,Високовци,VTR,VTR13,VTR13-00,3,8,7,1928,N,766,0
11288,,,с.,Витановци,PER,PER32,PER32-26,3,7,6,1928,SW,767,7336
11301,,,с.,Витина,SML,SML27,SML27-02,3,7,7,1928,S,768,8884
11315,,,с.,Вихрен,BLG,BLG40,BLG40-00,3,8,7,1928,SW,769,8063
11329,,,с.,Вичово,DOB,DOB12,DOB12-00,3,8,3,1928,NE,770,13759
11332,,,с.,Вишан,SFO,SFO16,SFO16-00,3,8,6,1928,SW,771,11924
11346,,,с.,Вишеград,KRZ,KRZ16,KRZ16-58,3,6,5,1928,S,772,1971
11358,,23683,с.,Вишлене,BLG,BLG33,BLG33-00,3,8,6,1928,SW,773,12660
11363,,,с.,Вишна,BGS,BGS18,BGS18-02,3,7,3,1928,SE,774,5084
11377,,,с.,Вишнево,SML,SML02,SML02-13,3,7,7,1928,S,775,7274
11380,,,с.,Вишовград,VTR,VTR22,VTR22-04,3,7,4,1928,N,776,42436
11394,,,с.,Владая,SOF,SOF46,SOF46-32,3,4,7,1928,SW,777,24104
11404,,,с.,Владимир,PER,PER36,PER36-04,3,7,6,1928,SW,778,10380
11418,,,с.,Владимирово,MON,MON04,MON04-03,3,5,2,1928,NW,779,42592
11421,,,с.,Владимирово,DOB,DOB15,DOB15-10,3,7,4,1928,NE,780,36443
11435,,,с.,Владимирово,HKV,HKV32,HKV32-08,3,8,3,1928,S,781,10073
11449,,,с.,Владимировци,RAZ,RAZ29,RAZ29-03,3,5,5,1928,N,782,28304
11452,,,с.,Владиня,LOV,LOV18,LOV18-06,3,7,4,1928,NW,783,30012
11466,,,с.,Владислав,VTR,VTR31,VTR31-06,3,7,3,1928,N,784,14109
11483,,,с.,Владиславци,SFO,SFO16,SFO16-00,3,8,6,1928,SW,785,14430
11497,,,с.,Владиченци,VID,VID16,VID16-00,3,8,3,1928,NW,786,6419
11507,81058,,с.,Владовци,GAB,GAB35,GAB35-00,3,8,5,1928,N,788,0
11510,,,с.,Владо Тричков,SFO,SFO43,SFO43-06,3,5,6,1928,SW,787,18969
11524,30661,,с.,Влайчовци,GAB,GAB05,GAB05-00,3,8,6,1928,N,789,0
11538,,,гр.,Свети Влас,BGS,BGS15,BGS15-02,1,4,2,1928,SE,4171,36125
11541,68823,,с.,Власатили,GAB,GAB35,GAB35-00,3,8,6,1928,N,790,0
11555,,,с.,Власатица,VRC,VRC10,VRC10-05,3,6,4,1928,NW,791,13141
11569,,,с.,Влахи,BLG,BLG28,BLG28-00,3,8,6,1928,SW,792,125370
11572,67653,,с.,Влахово,SML,SML31,SML31-42,3,6,7,1928,S,793,0
11586,37352,,с.,Влаховци,GAB,GAB05,GAB05-00,3,8,5,1928,N,794,0
11604,69345,,с.,Водата,SML,SML31,SML31-00,3,8,8,1928,S,795,0
11613,,,с.,Водач,KRZ,KRZ35,KRZ35-28,3,6,5,1928,S,796,2400
11627,,,с.,Воден,PDV,PDV23,PDV23-04,3,6,5,1928,S,797,11135
11644,,,с.,Воден,HKV,HKV09,HKV09-05,3,7,3,1928,S,798,13318
11658,,,с.,Воден,JAM,JAM03,JAM03-01,3,7,4,1928,SE,799,72180
11661,,,с.,Воденичане,JAM,JAM22,JAM22-04,3,7,3,1928,SE,800,32480
11675,,,с.,Воденичарово,SZR,SZR31,SZR31-00,3,8,3,1928,SE,801,7756
11689,,,с.,Воденичарско,KRZ,KRZ08,KRZ08-02,3,8,6,1928,S,802,8183
11692,,,с.,Воденци,HKV,HKV30,HKV30-03,3,8,5,1928,S,803,7164
11702,,,с.,Водица,VAR,VAR02,VAR02-02,3,7,5,1928,NE,804,20770
11716,,,с.,Водица,TGV,TGV24,TGV24-05,3,6,5,1928,NE,805,43429
11720,,,с.,Водна,VID,VID15,VID15-00,3,8,4,1928,NW,806,18143
11733,73105,,с.,Водни пад,SML,SML09,SML09-13,3,8,8,1928,S,807,0
11750,,,с.,Водно,VTR,VTR31,VTR31-00,3,8,5,1928,N,808,14981
11764,,,с.,Водно,SLS,SLS10,SLS10-02,3,5,4,1928,N,809,24377
11778,,,с.,Воднянци,VID,VID16,VID16-04,3,7,3,1928,NW,810,23101
11781,,,с.,Воднянци,DOB,DOB15,DOB15-11,3,7,3,1928,NE,811,10009
11795,,,с.,Водолей,VTR,VTR04,VTR04-07,3,6,2,1928,N,812,14829
11805,,,с.,Вождово,KRZ,KRZ35,KRZ35-29,3,8,5,1928,S,813,821
11819,,,с.,Войвода,SHU,SHU22,SHU22-02,3,6,4,1928,NE,814,25625
11822,,,с.,Войводенец,HKV,HKV30,HKV30-04,3,8,4,1928,S,815,4238
11836,,,с.,Войводино,VAR,VAR09,VAR09-03,3,7,4,1928,NE,816,31609
11845,,,с.,Войводиново,PDV,PDV17,PDV17-02,3,5,3,1928,S,817,13031
11853,,,с.,Войводово,VRC,VRC28,VRC28-01,3,7,2,1928,NW,818,7682
11867,,,с.,Войводово,HKV,HKV34,HKV34-03,3,5,3,1928,S,819,15830
11870,,07569,с.,Войкова лъка,SML,SML27,SML27-03,3,6,7,1928,S,820,6971
11884,,,с.,Войнеговци,SOF,SOF46,SOF46-37,3,6,6,1928,SW,821,17714
11898,,03753 32617 37160 57666 58520 70264 72583 ,с.,Войнежа,VTR,VTR04,VTR04-00,3,8,5,1928,N,822,40831
11908,,,с.,Войника,JAM,JAM22,JAM22-05,3,6,4,1928,SE,823,40931
11911,,,с.,Войниково,DOB,DOB27,DOB27-20,3,8,4,1928,NE,824,18766
11925,,,с.,Войница,VID,VID09,VID09-00,3,8,3,1928,NW,825,14199
11939,,,с.,Войници,MON,MON29,MON29-00,3,8,2,1928,NW,826,8618
11956,04025,,с.,Войниците,GAB,GAB35,GAB35-00,3,8,5,1928,N,827,0
11960,40275,,с.,Войнишка,GAB,GAB29,GAB29-00,3,8,6,1928,N,828,0
11987,,,с.,Войново,KRZ,KRZ35,KRZ35-00,3,8,5,1928,S,829,2133
11990,,,с.,Войново,SLS,SLS15,SLS15-01,3,7,3,1928,N,830,20847
12005,,,с.,Войнягово,PDV,PDV13,PDV13-06,3,5,5,1928,S,831,34198
12019,,,с.,Войсил,PDV,PDV17,PDV17-03,3,6,3,1928,S,832,18191
12022,,,с.,Вокил,SLS,SLS10,SLS10-03,3,5,4,1928,N,833,28130
12036,,,с.,Волно,BLG,BLG33,BLG33-00,3,8,7,1928,SW,834,7821
12042,65810,,с.,Воловарово,SZR,SZR36,SZR36-11,3,8,3,1928,SE,835,0
12053,,,с.,Воловарци,KRZ,KRZ16,KRZ16-06,3,8,6,1928,S,836,5022
12067,,,с.,Волово,RSE,RSE03,RSE03-03,3,7,3,1928,N,837,14958
12084,,,с.,Волуяк,SOF,SOF46,SOF46-35,3,4,6,1928,SW,838,18155
12098,,05240 21796 22383 34076 37006 47175 54095 62270 70603 72312 75229,с.,Вонеща вода,VTR,VTR04,VTR04-09,3,6,5,1928,N,839,36739
12108,,,с.,Врабево,LOV,LOV34,LOV34-06,3,6,5,1928,NW,840,42840
12111,14218,,с.,Врабците,GAB,GAB05,GAB05-00,3,8,6,1928,N,841,0
12139,,,с.,Врабча,PER,PER51,PER51-00,3,8,7,1928,SW,842,12903
12142,,,с.,Вракуповица,BLG,BLG49,BLG49-00,3,8,7,1928,SW,843,6658
12156,,,с.,Врани кон,TGV,TGV22,TGV22-08,3,6,5,1928,NE,845,13538
12168,,48516 61902 69287 ,с.,Враниловци,GAB,GAB05,GAB05-04,3,6,5,1928,N,846,15625
12173,,,с.,Вранино,DOB,DOB17,DOB17-06,3,7,3,1928,NE,847,23407
12187,48461,,с.,Вранинци,SML,SML16,SML16-00,3,8,7,1928,S,848,0
12190,,,с.,Вранско,KRZ,KRZ15,KRZ15-04,3,6,6,1928,S,849,5600
12200,,,с.,Враня,BLG,BLG40,BLG40-03,3,7,4,1928,SW,850,11939
12214,,,с.,Враняк,VRC,VRC08,VRC08-05,3,7,3,1928,NW,852,32088
12228,,,с.,Враня стена,PER,PER19,PER19-00,3,8,6,1928,SW,851,14217
12231,,,с.,Вратарите,DOB,DOB15,DOB15-00,3,8,4,1928,NE,854,16108
12245,,,с.,Вратица,BGS,BGS08,BGS08-02,3,8,3,1928,SE,855,16540
12259,,,гр.,Враца,VRC,VRC10,VRC10-00,1,1,5,1928,NW,857,148924
12262,,,с.,Врачанци,DOB,DOB15,DOB15-00,3,8,4,1928,NE,858,6612
12283,,,с.,Врачеш,SFO,SFO07,SFO07-02,3,4,5,1928,SW,859,119329
12293,,,с.,Врело,KRZ,KRZ21,KRZ21-04,3,7,6,1928,S,860,12826
12303,,,с.,Вресово,BGS,BGS18,BGS18-03,3,6,4,1928,SE,861,26647
12317,,,с.,Връв,VID,VID06,VID06-02,3,7,2,1928,NW,862,22823
12320,,,с.,Връдловци,SFO,SFO09,SFO09-00,3,8,6,1928,SW,863,6120
12334,65534,,с.,Всемирци,PAZ,PAZ08,PAZ08-20,3,7,8,1928,S,864,0
12348,,,с.,Вукан,PER,PER51,PER51-00,3,8,7,1928,SW,865,8133
12351,,,с.,Вуково,KNL,KNL05,KNL05-00,3,8,6,1928,SW,866,18441
12365,,,с.,Въбел,PVN,PVN21,PVN21-03,3,6,4,1928,NW,867,40143
12382,,,с.,Въгларово,HKV,HKV34,HKV34-04,3,6,4,1928,S,868,22909
12396,,06015 06118 14578 20715 24058 57114 61435 65262 ,с.,Въглевци,VTR,VTR04,VTR04-00,3,8,5,1928,N,869,31885
12406,,,с.,Въглен,VAR,VAR02,VAR02-03,3,6,4,1928,NE,870,20398
12414,,,с.,Въглен,SLV,SLV20,SLV20-07,3,8,6,1928,SE,871,19753
12423,,,с.,Възел,KRZ,KRZ35,KRZ35-30,3,8,6,1928,S,872,661
12440,,,с.,Вълкан,SLS,SLS07,SLS07-26,3,6,4,1928,N,873,12295
12454,37352,,с.,Вълков дол,GAB,GAB05,GAB05-00,3,8,5,1928,N,874,0
12468,,,с.,Вълкович,KRZ,KRZ08,KRZ08-23,3,7,5,1928,S,875,3576
12471,,,с.,Вълково,BLG,BLG40,BLG40-04,3,5,3,1928,SW,876,3844
12485,81058,,с.,Вълковци,GAB,GAB35,GAB35-00,3,8,6,1928,N,877,0
12499,,,с.,Вълкосел,BLG,BLG42,BLG42-03,3,5,7,1928,SW,878,29506
12509,,,с.,Вълнари,SHU,SHU21,SHU21-02,3,5,4,1928,NE,879,25358
12512,,31285,с.,Вълчан,SML,SML31,SML31-00,3,8,7,1928,S,881,5634
12526,,,с.,Вълчан дол,SML,SML02,SML02-04,3,8,7,1928,S,882,13532
12530,,,с.,Вълча поляна,JAM,JAM07,JAM07-00,3,8,4,1928,SE,880,35049
12543,,,гр.,Вълчедръм,MON,MON11,MON11-00,1,4,2,1928,NW,886,121134
12557,,,с.,Вълчек,VID,VID25,VID25-00,3,8,3,1928,NW,887,10769
12560,,,с.,Вълче поле,HKV,HKV17,HKV17-02,3,7,4,1928,S,885,49961
12574,,,гр.,Вълчи дол,VAR,VAR09,VAR09-00,1,4,4,1928,NE,888,18695
12588,,,с.,Вълчи извор,JAM,JAM03,JAM03-00,3,8,4,1928,SE,889,7900
12591,,,с.,Вълчин,BGS,BGS23,BGS23-05,3,7,3,1928,SE,890,16139
12601,,,с.,Вълчитрън,PVN,PVN27,PVN27-02,3,6,3,1928,NW,891,53807
12615,46125,,с.,Вълчовци,VTR,VTR13,VTR13-11,3,8,5,1928,N,893,0
12629,87326,,с.,Вълчовци,VTR,VTR13,VTR13-00,3,8,5,1928,N,892,0
12632,,,с.,Върба,VID,VID01,VID01-00,3,8,4,1928,NW,894,7982
12655,,39311,с.,Върба,SML,SML16,SML16-00,3,8,7,1928,S,895,6220
12663,,,с.,Върбак,SHU,SHU11,SHU11-05,3,7,5,1928,NE,896,28036
12677,,02556 07185 16479 20907 21395 22352 22397 23042 32812 38741 40587 40960 46485 51439 59152 61296 68816 70696 ,с.,Царева ливада,GAB,GAB12,GAB12-02,3,5,5,1928,N,4939,35468
12680,,,с.,Върбен,PDV,PDV07,PDV07-03,3,7,5,1928,S,898,31494
12694,,,с.,Върбенци,KRZ,KRZ16,KRZ16-00,3,8,6,1928,S,899,2277
12704,,,с.,Върбешница,VRC,VRC27,VRC27-03,3,7,5,1928,NW,900,26005
12718,,43637 56681 68638,с.,Върбина,SML,SML16,SML16-07,3,5,7,1928,S,901,7213
12721,,,с.,Върбино,SLS,SLS10,SLS10-00,3,8,4,1928,N,902,14805
12735,,,с.,Върбица,VTR,VTR06,VTR06-01,3,5,2,1928,N,903,21595
12749,,,с.,Върбица,VRC,VRC10,VRC10-22,3,7,4,1928,NW,904,26833
12752,,,с.,Върбица,PVN,PVN24,PVN24-06,3,6,4,1928,NW,905,36217
12766,,,гр.,Върбица,SHU,SHU10,SHU10-00,1,4,4,1928,NE,906,75801
12770,,,с.,Върбница,SFO,SFO09,SFO09-00,3,8,6,1928,SW,908,7141
12783,,,с.,Върбовка,VTR,VTR22,VTR22-05,3,6,4,1928,N,909,39243
12797,,,с.,Върбово,VID,VID37,VID37-00,3,8,5,1928,NW,910,41190
12807,83274,,с.,Върбово,SML,SML31,SML31-41,3,8,8,1928,S,911,0
12810,,,с.,Върбово,HKV,HKV33,HKV33-05,3,7,4,1928,S,912,22081
12824,,,с.,Върбовчец,VID,VID16,VID16-00,3,8,5,1928,NW,913,6663
12838,,,с.,Върбяне,SHU,SHU19,SHU19-01,3,7,4,1928,NE,914,16688
12841,73599,,с.,Въргов дол,SML,SML16,SML16-00,3,8,7,1928,S,915,0
12855,87326,,с.,Вързилковци,VTR,VTR13,VTR13-00,3,8,5,1928,N,916,0
12869,,,с.,Вързулица,VTR,VTR26,VTR26-01,3,7,2,1928,N,917,17565
12886,,,с.,Върли дол,KRZ,KRZ14,KRZ14-41,3,8,5,1928,S,918,2323
12896,,24952,с.,Върли дол,SML,SML18,SML18-02,3,7,7,1928,S,919,9180
12913,15401,,с.,Върлинка,VTR,VTR04,VTR04-00,3,8,5,1928,N,920,0
12927,,,с.,Върлино,SML,SML18,SML18-03,3,7,7,1928,S,921,3277
12958,,,с.,Въртоп,VID,VID09,VID09-00,3,8,3,1928,NW,922,14213
12961,,,гр.,Вършец,MON,MON12,MON12-00,1,3,5,1928,NW,924,81960
12975,,,с.,Вършило,BGS,BGS21,BGS21-00,3,8,3,1928,SE,925,46493
12989,,,с.,Враненци,PAZ,PAZ08,PAZ08-05,3,7,8,1928,S,844,2103
12992,,,с.,Врата,PDV,PDV01,PDV01-00,3,8,8,1928,S,853,1318
13055,,,с.,Вълчанка,KRZ,KRZ14,KRZ14-03,3,7,5,1928,S,883,5796
13069,69417,,с.,Валевци,GAB,GAB29,GAB29-00,3,8,6,1928,N,649,0
14012,,,с.,Габаре,VRC,VRC08,VRC08-07,3,5,4,1928,NW,926,44110
14026,,,с.,Габарево,SZR,SZR24,SZR24-04,3,5,5,1928,SE,927,57608
14034,,,с.,Габер,SFO,SFO16,SFO16-04,3,6,6,1928,SW,928,7020
14043,,,с.,Габер,DOB,DOB20,DOB20-04,3,7,3,1928,NE,929,17283
14057,,,с.,Габерово,BGS,BGS17,BGS17-04,3,6,3,1928,SE,930,8142
14060,,,с.,Габерово,HKV,HKV18,HKV18-00,3,8,6,1928,S,931,2783
14074,,,с.,Габра,SFO,SFO17,SFO17-02,3,5,7,1928,SW,932,38245
14088,06896,,с.,Габрака,VTR,VTR13,VTR13-00,3,8,6,1928,N,933,0
14091,,,с.,Габрене,BLG,BLG33,BLG33-06,3,6,5,1928,SW,934,14754
14101,,,с.,Габрешевци,KNL,KNL50,KNL50-00,3,8,7,1928,SW,935,10106
14115,40662,,с.,Габрина,SML,SML16,SML16-00,3,8,8,1928,S,936,0
14129,67653,,с.,Габрица,SML,SML31,SML31-00,3,8,8,1928,S,937,0
14132,,,с.,Габрица,SHU,SHU07,SHU07-04,3,7,5,1928,NE,938,14695
14146,,,с.,Габровдол,PER,PER19,PER19-00,3,8,7,1928,SW,939,6074
14163,,,с.,Габровица,PAZ,PAZ04,PAZ04-01,3,6,6,1928,S,940,37794
14180,,,с.,Габровница,MON,MON29,MON29-08,3,5,3,1928,NW,941,38426
14194,,44906,с.,Габровница,SFO,SFO43,SFO43-07,3,7,8,1928,SW,942,18888
14204,,,с.,Габрово,BLG,BLG03,BLG03-00,3,8,7,1928,SW,943,24261
14218,,02207 05219 12111 14742 16715 24854 30764 49655 47994 49062 59300 59135 63296 63690 70768 69479 72597 73290 81685 ,гр.,Габрово,GAB,GAB05,GAB05-00,1,1,5,1928,N,944,233817
14221,,,с.,Габрово,KRZ,KRZ35,KRZ35-03,3,6,8,1928,S,945,12777
14235,,05222 16047 20434 21066 21899 59121 83418 ,с.,Габровци,VTR,VTR04,VTR04-00,3,8,5,1928,N,946,25326
14249,,,с.,Габър,BGS,BGS21,BGS21-03,3,7,1,1928,SE,947,45407
14252,,,с.,Габърница,VAR,VAR08,VAR08-02,3,8,3,1928,NE,948,7756
14275,,,с.,Гавраилово,SLV,SLV20,SLV20-08,3,5,4,1928,SE,950,26679
14283,,,с.,Гаврил Геново,MON,MON14,MON14-11,3,7,4,1928,NW,951,15950
14297,,,с.,Гаганица,MON,MON02,MON02-06,3,7,4,1928,NW,952,34612
14307,,,с.,Гагово,TGV,TGV24,TGV24-06,3,6,3,1928,NE,953,19062
14310,68823,,с.,Гайдари,GAB,GAB35,GAB35-00,3,8,6,1928,N,954,0
14324,17991,,с.,Гайкини,GAB,GAB05,GAB05-00,3,8,5,1928,N,955,0
14338,,,с.,Гайтанево,SFO,SFO10,SFO10-04,3,7,6,1928,SW,956,18169
14341,,,с.,Гайтаниново,BLG,BLG52,BLG52-00,3,8,7,1928,SW,957,26891
14355,57675,,с.,Гайтаните,GAB,GAB05,GAB05-00,3,8,5,1928,N,958,0
14369,,,с.,Гайтанци,VID,VID09,VID09-00,3,8,3,1928,NW,959,13716
14386,,,с.,Галата,LOV,LOV33,LOV33-04,3,5,5,1928,NW,960,15700
14390,,,с.,Галатин,VRC,VRC21,VRC21-03,3,6,3,1928,NW,961,33892
14406,,,с.,Галиче,VRC,VRC08,VRC08-08,3,5,2,1928,NW,962,70217
14413,,75157,с.,Галище,SML,SML16,SML16-22,3,7,7,1928,S,963,5076
14427,,,с.,Галово,VRC,VRC31,VRC31-01,3,7,2,1928,NW,964,26147
14430,03054,,с.,Ганев дол,VTR,VTR13,VTR13-01,3,8,5,1928,N,965,0
14458,,63330,с.,Ганчовец,GAB,GAB12,GAB12-03,3,7,4,1928,N,966,19691
14461,,,с.,Бов,SFO,SFO43,SFO43-08,3,5,7,1928,SW,326,8490
14475,43092,,с.,Лакатник,SFO,SFO43,SFO43-09,3,5,7,1928,SW,2701,0
14489,,53758,с.,Орешец,VID,VID16,VID16-06,3,5,5,1928,NW,3397,33909
14492,,,гр.,Кресна,BLG,BLG28,BLG28-00,1,4,6,1928,SW,2569,56467
14516,,,с.,Хитрино,SHU,SHU11,SHU11-00,3,5,5,1928,NE,4897,1186
14521,,,с.,Златарица,BLG,BLG02,BLG02-00,3,8,7,1928,SW,1989,34021
14533,,14814 51715 55717 ,с.,Гарван,GAB,GAB05,GAB05-05,3,8,5,1928,N,967,7734
14547,,,с.,Гарван,SLS,SLS32,SLS32-02,3,7,1,1928,N,968,33388
14550,,,с.,Гарваново,HKV,HKV34,HKV34-05,3,6,3,1928,S,969,39082
14578,12396,,с.,Гащевци,VTR,VTR04,VTR04-00,3,8,5,1928,N,970,0
14581,,,с.,Гега,BLG,BLG33,BLG33-07,3,7,7,1928,SW,971,15772
14605,,30226 46019 ,с.,Гела,SML,SML31,SML31-00,3,8,8,1928,S,972,33959
14619,,,с.,Гелеменово,PAZ,PAZ19,PAZ19-05,3,6,4,1928,S,973,15754
14647,,,с.,Генерал Гешево,KRZ,KRZ08,KRZ08-03,3,7,7,1928,S,974,11044
14653,,,с.,Генерал Кантарджиево,VAR,VAR02,VAR02-04,3,7,3,1928,NE,976,30755
14667,,,с.,Генерал Киселово,VAR,VAR09,VAR09-04,3,7,4,1928,NE,977,26650
14670,,,с.,Генерал Колево,VAR,VAR09,VAR09-05,3,7,4,1928,NE,978,32902
14684,,,с.,Генерал Колево,DOB,DOB15,DOB15-00,3,8,4,1928,NE,979,16134
14698,,,с.,Генерал Мариново,VID,VID09,VID09-09,3,7,2,1928,NW,980,7077
14708,,,с.,Генералово,HKV,HKV28,HKV28-01,3,7,1,1928,S,984,12291
14711,,,гр.,Генерал Тошево,DOB,DOB12,DOB12-00,1,3,4,1928,NE,982,63655
14725,,,с.,Генерал Тошево,JAM,JAM25,JAM25-07,3,6,4,1928,SE,983,41235
14742,14218,,с.,Геновци,GAB,GAB05,GAB05-00,3,8,6,1928,N,985,0
14756,02347,,с.,Генчовци,GAB,GAB05,GAB05-00,3,8,5,1928,N,986,0
14762,30418,,с.,Геня,GAB,GAB12,GAB12-00,3,8,5,1928,N,988,0
14773,,,с.,Георги Дамяново,MON,MON14,MON14-00,3,5,4,1928,NW,989,12178
14787,,,с.,Георги Добрево,HKV,HKV17,HKV17-03,3,7,3,1928,S,990,26574
14800,,,с.,Гергевец,SLV,SLV20,SLV20-09,3,5,3,1928,SE,991,11359
14814,14533,,с.,Гергини,GAB,GAB05,GAB05-05,3,7,5,1928,N,992,0
14831,,,с.,Герман,SOF,SOF46,SOF46-55,3,4,6,1928,SW,993,16788
14859,,02333 62726 ,с.,Геша,GAB,GAB12,GAB12-00,3,8,5,1928,N,995,10986
14862,,,с.,Гешаново,DOB,DOB15,DOB15-00,3,8,4,1928,NE,996,22104
14876,,,с.,Гиген,PVN,PVN08,PVN08-02,3,5,1,1928,NW,997,65605
14888,,,с.,Искър,PVN,PVN08,PVN08-03,3,7,2,1928,NW,2115,23752
14893,,,с.,Гигинци,PER,PER08,PER08-07,3,7,7,1928,SW,998,16626
14903,,,с.,Гинци,SFO,SFO09,SFO09-02,3,6,8,1928,SW,999,40652
14917,,,с.,Гирчевци,KNL,KNL29,KNL29-06,3,7,5,1928,SW,1000,2563
14920,,,с.,Гита,SZR,SZR36,SZR36-02,3,6,3,1928,SE,1001,34275
14934,,,с.,Глава,PVN,PVN37,PVN37-02,3,5,2,1928,NW,1002,21230
14948,,,с.,Главан,SLS,SLS31,SLS31-00,3,8,3,1928,N,1003,16303
14951,,,с.,Главан,SZR,SZR07,SZR07-03,3,6,5,1928,SE,1004,61120
14965,,,с.,Главановци,MON,MON14,MON14-00,3,8,5,1928,NW,1005,13538
14979,,,с.,Главановци,PER,PER51,PER51-00,3,7,7,1928,SW,1006,5359
14982,,,с.,Главанци,DOB,DOB27,DOB27-07,3,7,4,1928,NE,1007,20864
14996,,,с.,Главатар,PDV,PDV12,PDV12-02,3,7,3,1928,S,1008,6173
15000,,,с.,Главатарци,KRZ,KRZ16,KRZ16-10,3,8,5,1928,S,1009,995
15014,,,с.,Главаци,VRC,VRC21,VRC21-04,3,7,4,1928,NW,1010,10403
15028,,,с.,Главиница,PAZ,PAZ19,PAZ19-06,3,4,4,1928,S,1011,10202
15031,,,гр.,Главиница,SLS,SLS07,SLS07-00,1,4,3,1928,N,1012,34844
15045,,,с.,Глашатай,TGV,TGV02,TGV02-00,3,8,6,1928,NE,1014,6515
15059,57675,,с.,Гледаци,GAB,GAB05,GAB05-23,3,8,5,1928,N,1015,0
15062,,,с.,Гледачево,SZR,SZR27,SZR27-00,3,8,3,1928,SE,1016,25916
15093,68727,,с.,Гледка,HKV,HKV30,HKV30-14,3,6,4,1928,S,1017,0
15103,,,с.,Глогинка,TGV,TGV24,TGV24-07,3,7,4,1928,NE,1018,23775
15117,,,с.,Глогино,SML,SML02,SML02-00,3,8,8,1928,S,1019,13073
15120,38337,,с.,Глоговец,VTR,VTR13,VTR13-09,3,8,6,1928,N,1020,0
15134,,,с.,Глоговица,PER,PER51,PER51-00,3,8,7,1928,SW,1021,13770
15148,,,с.,Глогово,LOV,LOV33,LOV33-05,3,5,6,1928,NW,1022,18428
15151,,,гр.,Глоджево,RSE,RSE05,RSE05-02,1,4,4,1928,N,1023,76136
15165,,,с.,Гложене,LOV,LOV33,LOV33-06,3,5,5,1928,NW,1024,62163
15179,,,с.,Глумово,HKV,HKV11,HKV11-16,3,8,6,1928,S,1026,3029
15182,,,с.,Глумче,BGS,BGS09,BGS09-00,3,8,3,1928,SE,1027,9109
15196,03513,,с.,Глутниците,GAB,GAB35,GAB35-00,3,8,6,1928,N,1028,0
15206,,,с.,Глуфишево,SLV,SLV20,SLV20-10,3,6,3,1928,SE,1029,15022
15216,,,с.,Глухар,KRZ,KRZ16,KRZ16-07,3,5,4,1928,S,1030,2939
15223,32319,,с.,Глушка,GAB,GAB12,GAB12-00,3,8,6,1928,N,1031,0
15237,,,с.,Глушник,SLV,SLV20,SLV20-11,3,6,4,1928,SE,1032,24423
15240,18054,,с.,Гнездаре,HKV,HKV11,HKV11-04,3,8,5,1928,S,1033,0
15268,,,с.,Гняздово,KRZ,KRZ16,KRZ16-59,3,8,4,1928,S,1034,10243
